,BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Mgr,Office,Other,ProfExe,Sales,Self,DebtCon,HomeImp,Other reason,PROBINC
0,1,11.987152991346441,25860.0,39025.0,10.5,0.0,0.0,94.366666667,1.0,9.0,,False,False,True,False,False,False,False,True,False,
1,1,12.443164837124831,70053.0,68400.0,7.0,0.0,2.0,121.83333333,0.0,14.0,,False,False,True,False,False,False,False,True,False,
2,1,12.842514792348792,13500.0,16700.0,4.0,0.0,0.0,149.46666667,1.0,10.0,,False,False,True,False,False,False,False,True,False,
3,1,12.842514792348792,,,,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
4,0,13.198539446859785,97800.0,112000.0,3.0,0.0,0.0,93.333333333,0.0,14.0,,False,True,False,False,False,False,False,True,False,
5,1,13.198539446859785,30548.0,40320.0,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,False,False,True,False,False,False,False,True,False,823.0941983663364
6,1,13.363247080408904,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,,False,False,True,False,False,False,False,True,False,
7,1,13.363247080408904,28502.0,43034.0,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,False,False,True,False,False,False,False,True,False,772.7282591116101
8,1,13.670386213902892,32700.0,46740.0,3.0,0.0,2.0,216.93333333,1.0,12.0,,False,False,True,False,False,False,False,True,False,
9,1,13.670386213902892,,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,,False,False,False,False,True,False,False,True,False,
10,1,13.670386213902892,22608.0,,18.0,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
11,1,13.670386213902892,20627.0,29800.0,11.0,0.0,1.0,122.53333333,1.0,9.0,,False,True,False,False,False,False,False,True,False,
12,1,13.670386213902892,45000.0,55000.0,3.0,0.0,0.0,86.066666667,2.0,25.0,,False,False,True,False,False,False,False,True,False,
13,0,13.670386213902892,64536.0,87400.0,2.5,0.0,0.0,147.13333333,0.0,24.0,,True,False,False,False,False,False,False,False,True,
14,1,13.814182476083198,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,,False,False,True,False,False,False,False,True,False,
15,1,13.952220375888153,24280.0,34687.0,,0.0,1.0,300.86666667,0.0,8.0,,False,False,True,False,False,False,False,True,False,
16,1,13.952220375888153,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,,True,False,False,False,False,False,False,True,False,
17,1,13.952220375888153,23030.0,,19.0,0.0,0.0,,,,3.7113122995,False,False,True,False,False,False,False,False,True,6205.352215469088
18,1,14.084977036586329,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,,False,False,True,False,False,False,False,True,False,
19,0,14.084977036586329,102370.0,120953.0,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,False,True,False,False,False,False,False,True,False,3240.7360178843865
20,1,14.084977036586329,37626.0,46200.0,3.0,0.0,1.0,122.26666667,1.0,14.0,,False,False,True,False,False,False,False,True,False,
21,1,14.212871358815452,50000.0,73395.0,5.0,1.0,0.0,,1.0,0.0,,False,False,False,True,False,False,False,True,False,
22,1,14.212871358815452,28000.0,40800.0,12.0,0.0,0.0,67.2,2.0,22.0,,True,False,False,False,False,False,False,True,False,
23,1,14.212871358815452,18000.0,,22.0,0.0,2.0,121.73333333,0.0,10.0,,True,False,False,False,False,False,False,True,False,
24,1,14.212871358815452,,17180.0,,0.0,0.0,14.566666667,3.0,4.0,,False,False,True,False,False,False,False,True,False,
25,1,14.212871358815452,34863.0,47471.0,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,True,False,False,False,False,False,False,True,False,911.1270067104549
26,0,14.212871358815452,98449.0,117195.0,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,False,True,False,False,False,False,False,True,False,3316.810648170125
27,1,14.336273219939436,15000.0,20200.0,18.0,0.0,0.0,136.06666667,1.0,19.0,,False,False,True,False,False,False,False,True,False,
28,1,14.336273219939436,25116.0,36350.0,10.0,1.0,2.0,276.96666667,0.0,9.0,,False,False,True,False,False,False,False,True,False,
29,0,14.336273219939436,7229.0,44516.0,,0.0,0.0,208.0,0.0,12.0,,False,False,False,False,False,True,False,True,False,
30,0,14.336273219939436,71408.0,78600.0,8.0,0.0,0.0,255.73333333,0.0,12.0,,False,False,False,True,False,False,False,True,False,
31,1,14.682634432039094,50795.0,63100.0,26.0,2.0,15.0,145.63333333,3.0,45.0,,False,False,False,False,False,True,False,True,False,
32,1,14.682634432039094,4000.0,60850.0,16.0,4.0,0.0,112.63333333,2.0,9.0,,False,False,True,False,False,False,False,True,False,
33,1,14.791018425077747,78600.0,113000.0,6.0,1.0,0.0,165.33333333,2.0,26.0,,False,False,False,True,False,False,True,False,False,
34,0,14.791018425077747,103949.0,112505.0,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286,False,True,False,False,False,False,False,True,False,3459.070532664916
35,0,14.791018425077747,104373.0,120702.0,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028,False,True,False,False,False,False,False,True,False,3488.8852732696464
36,1,14.791018425077747,7750.0,67996.0,16.0,3.0,0.0,122.20466276,2.0,8.0,36.211347998,False,False,True,False,False,False,False,True,False,214.0213062609004
37,1,14.791018425077747,61962.0,70915.0,2.0,0.0,0.0,282.80165924,3.0,37.0,49.20639579,True,False,False,False,False,False,True,False,False,1259.226549825709
38,0,14.89624219395466,104570.0,121729.0,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267,False,True,False,False,False,False,False,True,False,3261.718868437789
39,1,14.89624219395466,7000.0,20300.0,3.0,0.0,0.0,50.8,5.0,9.0,,False,False,True,False,False,False,False,True,False,
40,1,14.89624219395466,,8800.0,2.0,0.0,1.0,77.766666667,0.0,3.0,,False,False,True,False,False,False,False,True,False,
41,1,14.89624219395466,,33000.0,1.0,0.0,1.0,23.3,1.0,2.0,,False,False,True,False,False,False,False,True,False,
42,1,14.89624219395466,119826.0,193500.0,8.0,0.0,0.0,130.03335846,0.0,27.0,,False,False,True,False,False,False,False,True,False,
43,1,14.89624219395466,20000.0,29750.0,2.0,0.0,0.0,187.06666667,0.0,12.0,,False,False,True,False,False,False,True,False,False,
44,1,14.89624219395466,,14500.0,3.0,0.0,0.0,9.3,14.0,2.0,,False,False,True,False,False,False,False,True,False,
45,1,14.89624219395466,,14100.0,1.0,0.0,0.0,104.2,0.0,19.0,,False,False,True,False,False,False,False,True,False,
46,1,14.89624219395466,47000.0,82700.0,10.0,0.0,1.0,262.16666667,5.0,26.0,,False,False,False,True,False,False,False,True,False,
47,1,14.89624219395466,34542.0,45900.0,8.5,0.0,2.0,62.366666667,0.0,10.0,,True,False,False,False,False,False,False,True,False,
48,0,14.89624219395466,58000.0,71500.0,10.0,0.0,2.0,211.93333333,0.0,25.0,,True,False,False,False,False,False,False,True,False,
49,0,14.89624219395466,47000.0,56400.0,21.0,0.0,0.0,201.86666667,0.0,20.0,,False,True,False,False,False,False,False,True,False,
50,1,14.998498717470348,39589.0,36100.0,1.5,0.0,0.0,153.16666667,1.0,14.0,,False,False,True,False,False,False,False,True,False,
51,0,14.998498717470348,,70400.0,,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
52,0,15.097963423460422,67848.0,74566.0,10.0,0.0,1.0,206.42660206,0.0,25.0,40.115677278,True,False,False,False,False,False,False,True,False,1691.3088498996574
