,BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Mgr,Office,Other,ProfExe,Sales,Self,DebtCon,HomeImp,Other reason,PROBINC
0,1,1100,25860.0,39025.0,10.5,0.0,0.0,94.366666667,1.0,9.0,,False,False,True,False,False,False,False,True,False,
1,1,1300,70053.0,68400.0,7.0,0.0,2.0,121.83333333,0.0,14.0,,False,False,True,False,False,False,False,True,False,
2,1,1500,13500.0,16700.0,4.0,0.0,0.0,149.46666667,1.0,10.0,,False,False,True,False,False,False,False,True,False,
3,1,1500,,,,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
4,0,1700,97800.0,112000.0,3.0,0.0,0.0,93.333333333,0.0,14.0,,False,True,False,False,False,False,False,True,False,
5,1,1700,30548.0,40320.0,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,False,False,True,False,False,False,False,True,False,823.0941983663364
6,1,1800,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,,False,False,True,False,False,False,False,True,False,
7,1,1800,28502.0,43034.0,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,False,False,True,False,False,False,False,True,False,772.7282591116101
8,1,2000,32700.0,46740.0,3.0,0.0,2.0,216.93333333,1.0,12.0,,False,False,True,False,False,False,False,True,False,
9,1,2000,,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,,False,False,False,False,True,False,False,True,False,
10,1,2000,22608.0,,18.0,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
11,1,2000,20627.0,29800.0,11.0,0.0,1.0,122.53333333,1.0,9.0,,False,True,False,False,False,False,False,True,False,
12,1,2000,45000.0,55000.0,3.0,0.0,0.0,86.066666667,2.0,25.0,,False,False,True,False,False,False,False,True,False,
13,0,2000,64536.0,87400.0,2.5,0.0,0.0,147.13333333,0.0,24.0,,True,False,False,False,False,False,False,False,True,
14,1,2100,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,,False,False,True,False,False,False,False,True,False,
15,1,2200,24280.0,34687.0,,0.0,1.0,300.86666667,0.0,8.0,,False,False,True,False,False,False,False,True,False,
16,1,2200,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,,True,False,False,False,False,False,False,True,False,
17,1,2200,23030.0,,19.0,0.0,0.0,,,,3.7113122995,False,False,True,False,False,False,False,False,True,6205.352215469088
18,1,2300,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,,False,False,True,False,False,False,False,True,False,
19,0,2300,102370.0,120953.0,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,False,True,False,False,False,False,False,True,False,3240.7360178843865
20,1,2300,37626.0,46200.0,3.0,0.0,1.0,122.26666667,1.0,14.0,,False,False,True,False,False,False,False,True,False,
21,1,2400,50000.0,73395.0,5.0,1.0,0.0,,1.0,0.0,,False,False,False,True,False,False,False,True,False,
22,1,2400,28000.0,40800.0,12.0,0.0,0.0,67.2,2.0,22.0,,True,False,False,False,False,False,False,True,False,
23,1,2400,18000.0,,22.0,0.0,2.0,121.73333333,0.0,10.0,,True,False,False,False,False,False,False,True,False,
24,1,2400,,17180.0,,0.0,0.0,14.566666667,3.0,4.0,,False,False,True,False,False,False,False,True,False,
25,1,2400,34863.0,47471.0,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,True,False,False,False,False,False,False,True,False,911.1270067104549
26,0,2400,98449.0,117195.0,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,False,True,False,False,False,False,False,True,False,3316.810648170125
27,1,2500,15000.0,20200.0,18.0,0.0,0.0,136.06666667,1.0,19.0,,False,False,True,False,False,False,False,True,False,
28,1,2500,25116.0,36350.0,10.0,1.0,2.0,276.96666667,0.0,9.0,,False,False,True,False,False,False,False,True,False,
29,0,2500,7229.0,44516.0,,0.0,0.0,208.0,0.0,12.0,,False,False,False,False,False,True,False,True,False,
30,0,2500,71408.0,78600.0,8.0,0.0,0.0,255.73333333,0.0,12.0,,False,False,False,True,False,False,False,True,False,
31,1,2800,50795.0,63100.0,26.0,2.0,15.0,145.63333333,3.0,45.0,,False,False,False,False,False,True,False,True,False,
32,1,2800,4000.0,60850.0,16.0,4.0,0.0,112.63333333,2.0,9.0,,False,False,True,False,False,False,False,True,False,
33,1,2900,78600.0,113000.0,6.0,1.0,0.0,165.33333333,2.0,26.0,,False,False,False,True,False,False,True,False,False,
34,0,2900,103949.0,112505.0,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286,False,True,False,False,False,False,False,True,False,3459.070532664916
35,0,2900,104373.0,120702.0,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028,False,True,False,False,False,False,False,True,False,3488.8852732696464
36,1,2900,7750.0,67996.0,16.0,3.0,0.0,122.20466276,2.0,8.0,36.211347998,False,False,True,False,False,False,False,True,False,214.0213062609004
37,1,2900,61962.0,70915.0,2.0,0.0,0.0,282.80165924,3.0,37.0,49.20639579,True,False,False,False,False,False,True,False,False,1259.226549825709
38,0,3000,104570.0,121729.0,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267,False,True,False,False,False,False,False,True,False,3261.718868437789
39,1,3000,7000.0,20300.0,3.0,0.0,0.0,50.8,5.0,9.0,,False,False,True,False,False,False,False,True,False,
40,1,3000,,8800.0,2.0,0.0,1.0,77.766666667,0.0,3.0,,False,False,True,False,False,False,False,True,False,
41,1,3000,,33000.0,1.0,0.0,1.0,23.3,1.0,2.0,,False,False,True,False,False,False,False,True,False,
42,1,3000,119826.0,193500.0,8.0,0.0,0.0,130.03335846,0.0,27.0,,False,False,True,False,False,False,False,True,False,
43,1,3000,20000.0,29750.0,2.0,0.0,0.0,187.06666667,0.0,12.0,,False,False,True,False,False,False,True,False,False,
44,1,3000,,14500.0,3.0,0.0,0.0,9.3,14.0,2.0,,False,False,True,False,False,False,False,True,False,
45,1,3000,,14100.0,1.0,0.0,0.0,104.2,0.0,19.0,,False,False,True,False,False,False,False,True,False,
46,1,3000,47000.0,82700.0,10.0,0.0,1.0,262.16666667,5.0,26.0,,False,False,False,True,False,False,False,True,False,
47,1,3000,34542.0,45900.0,8.5,0.0,2.0,62.366666667,0.0,10.0,,True,False,False,False,False,False,False,True,False,
48,0,3000,58000.0,71500.0,10.0,0.0,2.0,211.93333333,0.0,25.0,,True,False,False,False,False,False,False,True,False,
49,0,3000,47000.0,56400.0,21.0,0.0,0.0,201.86666667,0.0,20.0,,False,True,False,False,False,False,False,True,False,
50,1,3100,39589.0,36100.0,1.5,0.0,0.0,153.16666667,1.0,14.0,,False,False,True,False,False,False,False,True,False,
51,0,3100,,70400.0,,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
52,0,3200,67848.0,74566.0,10.0,0.0,1.0,206.42660206,0.0,25.0,40.115677278,True,False,False,False,False,False,False,True,False,1691.3088498996574
53,1,3200,48603.0,61000.0,28.0,0.0,4.0,122.03333333,1.0,25.0,,False,False,False,True,False,False,False,True,False,
54,1,3200,27200.0,40834.0,,0.0,0.0,298.13156403,0.0,7.0,35.553538789,False,False,True,False,False,False,False,True,False,765.043394454323
55,1,3200,54000.0,64850.0,1.0,0.0,0.0,121.86666667,3.0,21.0,,False,False,True,False,False,False,False,True,False,
56,0,3200,74864.0,87266.0,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351,False,False,False,True,False,False,False,True,False,1744.6750086610136
57,1,3200,23159.0,,20.0,0.0,2.0,117.80574784,0.0,9.0,0.5244992154,True,False,False,False,False,False,False,True,False,44154.49884388902
58,1,3300,126541.0,134527.0,9.0,1.0,0.0,139.0,0.0,36.0,,False,False,False,False,True,False,False,True,False,
59,1,3300,130518.0,164317.0,9.0,0.0,6.0,192.28914897,0.0,33.0,35.73055919,False,False,True,False,False,False,True,False,False,3652.8395569171053
60,1,3400,37000.0,52000.0,2.0,0.0,1.0,183.29991561,0.0,6.0,,False,True,False,False,False,False,False,True,False,
61,1,3500,23200.0,38666.0,11.0,0.0,0.0,162.36666667,0.0,14.0,,False,False,True,False,False,False,False,True,False,
62,1,3500,19400.0,20494.0,5.0,0.0,0.0,95.933333333,0.0,9.0,,False,False,True,False,False,False,False,True,False,
63,1,3600,61584.0,61800.0,10.0,0.0,0.0,,,,,False,False,False,True,False,False,False,True,False,
64,1,3600,41900.0,52490.0,3.0,0.0,0.0,72.033333333,2.0,4.0,,True,False,False,False,False,False,False,True,False,
65,0,3600,83700.0,111800.0,6.0,0.0,0.0,192.73333333,1.0,28.0,,False,False,False,True,False,False,False,True,False,
66,0,3600,61327.0,76484.0,9.0,0.0,2.0,202.51077515,0.0,25.0,41.516389699,True,False,False,False,False,False,False,True,False,1477.1756514627084
67,0,3600,100693.0,114743.0,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382,False,True,False,False,False,False,False,True,False,3425.6842971052724
68,1,3600,48507.0,61000.0,13.0,1.0,4.0,97.4,0.0,17.0,,False,True,False,False,False,False,True,False,False,
69,0,3600,52337.0,63989.0,20.0,0.0,0.0,204.27249884,0.0,20.0,20.470915508,False,True,False,False,False,False,False,True,False,2556.651654370162
70,1,3700,17857.0,21144.0,5.0,0.0,0.0,129.71732313,1.0,9.0,26.634347518,False,False,True,False,False,False,False,True,False,670.4500640735389
71,1,3800,19135.0,97692.0,1.6,1.0,6.0,252.63333333,1.0,25.0,,True,False,False,False,False,False,False,True,False,
72,0,3800,51180.0,63459.0,20.0,0.0,0.0,203.75153358,0.0,20.0,20.067042051,False,True,False,False,False,False,False,True,False,2550.4506279464117
73,0,3800,,73189.0,,0.0,0.0,,,,22.253949156,False,False,True,False,False,False,False,False,True,
74,0,3800,11543.0,46045.0,,0.0,0.0,204.64799167,0.0,11.0,42.173165882,False,False,False,False,False,True,False,True,False,273.70484900984604
75,1,3900,29896.0,45960.0,11.0,0.0,0.0,146.12324219,0.0,14.0,24.478881191,False,False,True,False,False,False,False,True,False,1221.2976470097694
76,1,3900,14500.0,22092.0,3.5,0.0,1.0,150.3,5.0,8.0,,False,False,True,False,False,False,False,True,False,
77,0,3900,52825.0,63000.0,8.0,0.0,4.0,171.66666667,1.0,31.0,,False,False,False,True,False,False,True,False,False,
78,0,3900,102143.0,118742.0,2.0,0.0,0.0,85.277365579,0.0,13.0,29.343921089,False,True,False,False,False,False,False,True,False,3480.8913127254086
79,1,3900,21200.0,39000.0,4.0,0.0,1.0,86.566666667,2.0,14.0,,True,False,False,False,False,False,True,False,False,
80,0,4000,105164.0,112774.0,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055,False,True,False,False,False,False,False,True,False,3578.110898818979
81,0,4000,54543.0,61777.0,21.0,0.0,0.0,205.58668003,0.0,19.0,21.806563464,False,True,False,False,False,False,False,True,False,2501.2194191003045
82,1,4000,,80609.0,1.5,0.0,2.0,126.53333333,3.0,12.0,,False,False,True,False,False,False,False,True,False,
83,1,4000,26572.0,31960.0,11.0,0.0,0.0,117.79510387,0.0,8.0,41.286491948,False,True,False,False,False,False,False,True,False,643.6003338202534
84,1,4000,17000.0,52012.0,22.0,3.0,1.0,85.333333333,1.0,9.0,,False,False,False,True,False,False,False,True,False,
85,1,4000,29562.0,37200.0,6.0,0.0,0.0,92.133333333,1.0,26.0,,False,False,True,False,False,False,True,False,False,
86,1,4000,41700.0,76725.0,0.5,0.0,3.0,136.13333333,0.0,15.0,,False,False,True,False,False,False,False,True,False,
87,1,4000,58000.0,69440.0,3.5,0.0,1.0,168.66666667,0.0,18.0,,False,False,True,False,False,False,False,True,False,
88,1,4000,5700.0,18000.0,,0.0,0.0,12.2,0.0,17.0,,False,False,True,False,False,False,True,False,False,
89,1,4000,45000.0,58350.0,3.5,0.0,0.0,162.0,3.0,16.0,,True,False,False,False,False,False,False,True,False,
90,1,4000,7000.0,16020.0,18.0,0.0,1.0,85.8,2.0,23.0,,False,False,True,False,False,False,False,True,False,
91,0,4000,66000.0,79050.0,1.8,2.0,0.0,279.0,1.0,6.0,,False,False,True,False,False,False,False,True,False,
92,0,4000,,45760.0,0.0,0.0,0.0,,0.0,0.0,,False,False,True,False,False,False,False,True,False,
93,0,4000,62000.0,78000.0,4.0,0.0,0.0,109.56666667,0.0,15.0,,False,False,True,False,False,False,False,True,False,
94,0,4000,64240.0,63990.0,5.0,2.0,0.0,160.3,1.0,23.0,,False,False,False,False,True,False,False,True,False,
95,1,4000,74000.0,93000.0,2.6,1.0,3.0,186.63333333,,9.0,,False,False,False,True,False,False,False,True,False,
96,1,4000,55000.0,59000.0,12.0,2.0,0.0,146.1,0.0,22.0,,False,False,True,False,False,False,True,False,False,
97,0,4000,67625.0,80698.0,11.0,0.0,1.0,212.34930388,0.0,25.0,39.128717628,True,False,False,False,False,False,False,True,False,1728.2702858528755
98,0,4000,67533.0,71865.0,10.0,0.0,2.0,227.79298841,0.0,25.0,39.166328703,True,False,False,False,False,False,False,True,False,1724.2616869226044
99,1,4100,,19132.0,0.0,0.0,0.0,100.77465221,0.0,19.0,33.840919904,False,False,True,False,False,False,False,True,False,
100,1,4100,58500.0,65000.0,8.0,1.0,2.0,63.933333333,2.0,15.0,,False,False,True,False,False,False,False,True,False,
101,0,4100,57992.0,63797.0,7.0,0.0,4.0,165.50503695,1.0,31.0,22.27817437,False,False,False,True,False,False,True,False,False,2603.0858290656247
102,0,4200,56544.0,59218.0,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425,False,True,False,False,False,False,False,True,False,2971.6669303370263
103,1,4200,34800.0,50225.0,2.0,1.0,0.0,93.5,1.0,5.0,,False,False,True,False,False,False,False,True,False,
104,0,4200,67700.0,77000.0,4.0,0.0,0.0,128.83333333,0.0,31.0,,False,False,False,False,True,False,True,False,False,
105,0,4200,44000.0,55085.0,6.0,0.0,1.0,75.433333333,,16.0,,False,False,True,False,False,False,True,False,False,
106,0,4200,66272.0,82953.0,3.0,0.0,0.0,110.27866259,0.0,15.0,43.450587911,False,False,True,False,False,False,False,True,False,1525.226773357939
107,0,4200,50216.0,58541.0,19.0,0.0,0.0,209.87130224,0.0,19.0,20.20803267,False,True,False,False,False,False,False,True,False,2484.952435500986
108,0,4300,71206.0,78698.0,3.0,0.0,0.0,129.93286902,0.0,31.0,34.181376516,False,False,False,False,True,False,True,False,False,2083.181172258206
109,0,4300,68815.0,79852.0,6.0,0.0,0.0,105.12070881,0.0,14.0,41.806376152,False,False,True,False,False,False,False,True,False,1646.0407797557436
110,0,4300,72021.0,80027.0,2.0,2.0,0.0,263.97030029,0.0,5.0,36.432093937,False,False,True,False,False,False,False,True,False,1976.855904152584
111,0,4400,53969.0,63869.0,7.0,0.0,3.0,162.39001067,0.0,30.0,23.581079239,False,False,False,True,False,False,True,False,False,2288.656912307151
112,0,4400,,60250.0,,0.0,0.0,,,,,False,False,True,False,False,False,False,False,True,
113,1,4400,53091.0,64074.0,14.0,1.0,3.0,89.86105825,0.0,17.0,39.158084834,False,True,False,False,False,False,True,False,False,1355.8119664193177
114,0,4500,66127.0,79087.0,4.0,1.0,0.0,81.349065098,0.0,15.0,40.70530876,False,False,True,False,False,False,False,True,False,1624.5301169409431
115,0,4500,,77182.0,,0.0,0.0,,,,25.227252904,False,False,True,False,False,False,False,False,True,
